covid,home_form,away_form,ranking_diff,home_win,Season
0,0.8,0.4,12.0,1,2017-2018
0,2.0,0.8,3.0,1,2017-2018
0,1.2,1.4,-9.0,0,2017-2018
0,0.2,1.8,-9.0,1,2017-2018
0,0.6,1.2,-3.0,0,2017-2018
0,1.6,0.4,3.0,1,2017-2018
0,1.2,2.4,-8.0,0,2017-2018
0,2.0,1.2,14.0,1,2017-2018
0,0.8,2.2,-16.0,1,2017-2018
0,1.8,2.0,13.0,1,2017-2018
0,2.4,1.0,23.0,1,2017-2018
0,0.6,2.4,-19.0,0,2017-2018
0,2.0,2.2,-2.0,0,2017-2018
0,0.4,1.4,5.0,0,2017-2018
0,1.2,1.4,13.0,0,2017-2018
0,1.2,2.4,-15.0,0,2017-2018
0,2.6,0.6,6.0,1,2017-2018
0,1.4,2.0,-13.0,0,2017-2018
0,0.6,0.6,1.0,0,2017-2018
0,2.4,0.8,23.0,0,2017-2018
0,2.0,2.4,-17.0,0,2017-2018
0,0.2,0.6,1.0,1,2017-2018
0,0.6,0.2,-1.0,0,2017-2018
0,2.0,1.8,17.0,1,2017-2018
0,2.6,2.6,12.0,0,2017-2018
0,0.0,1.2,-6.0,0,2017-2018
0,1.0,0.6,-2.0,1,2017-2018
0,2.6,2.6,-13.0,0,2017-2018
0,1.4,0.8,-3.0,0,2017-2018
0,1.6,0.8,-11.0,1,2017-2018
0,2.4,1.4,28.0,1,2017-2018
0,0.6,1.4,-14.0,0,2017-2018
0,0.8,2.4,-17.0,0,2017-2018
0,0.2,2.0,-7.0,1,2017-2018
0,1.2,0.8,8.0,1,2017-2018
0,1.4,0.6,11.0,0,2017-2018
0,0.8,1.6,6.0,1,2017-2018
0,1.2,0.8,-1.0,1,2017-2018
0,0.6,0.8,-1.0,1,2017-2018
0,2.6,3.0,-11.0,1,2017-2018
0,2.2,2.2,28.0,1,2017-2018
0,2.2,0.6,8.0,1,2017-2018
0,0.8,1.2,-6.0,1,2017-2018
0,1.4,0.8,-3.0,1,2017-2018
0,1.4,1.4,-5.0,0,2017-2018
0,2.0,2.2,-19.0,1,2017-2018
0,2.4,1.6,25.0,1,2017-2018
0,0.6,0.8,-4.0,1,2017-2018
0,0.2,1.2,-4.0,1,2017-2018
0,1.2,2.6,-22.0,1,2017-2018
0,0.8,1.2,-5.0,1,2017-2018
0,2.4,2.2,1.0,0,2017-2018
0,2.6,2.0,30.0,1,2017-2018
0,0.8,1.2,-1.0,0,2017-2018
0,1.4,2.4,-34.0,0,2017-2018
0,1.6,2.0,6.0,1,2017-2018
0,1.6,0.8,11.0,0,2017-2018
0,0.6,1.8,-2.0,0,2017-2018
0,0.6,1.4,-10.0,1,2017-2018
0,1.8,2.0,-1.0,1,2017-2018
0,1.2,1.2,2.0,0,2017-2018
0,1.8,2.6,-22.0,0,2017-2018
0,1.4,1.8,-25.0,0,2017-2018
0,2.4,0.8,7.0,1,2017-2018
0,0.8,1.4,-6.0,1,2017-2018
0,1.2,1.2,2.0,0,2017-2018
0,1.4,1.6,-16.0,0,2017-2018
0,1.4,2.4,-36.0,0,2017-2018
0,1.4,1.2,17.0,0,2017-2018
0,0.8,1.2,12.0,0,2017-2018
0,0.6,0.6,3.0,1,2017-2018
0,2.2,1.4,22.0,1,2017-2018
0,0.8,1.4,-1.0,0,2017-2018
0,1.2,1.4,-5.0,0,2017-2018
0,1.4,1.8,-3.0,0,2017-2018
0,2.0,0.8,4.0,0,2017-2018
0,2.4,1.2,35.0,1,2017-2018
0,0.6,1.2,6.0,1,2017-2018
0,0.8,1.2,-22.0,0,2017-2018
0,2.2,2.4,17.0,1,2017-2018
0,0.8,1.0,-4.0,0,2017-2018
0,1.2,1.2,-4.0,0,2017-2018
0,1.2,2.0,-8.0,0,2017-2018
0,1.4,1.0,0.0,1,2017-2018
0,1.0,0.6,16.0,0,2017-2018
0,1.0,0.6,2.0,0,2017-2018
0,1.0,0.8,13.0,0,2017-2018
0,1.4,1.4,7.0,1,2017-2018
0,1.4,2.6,-29.0,0,2017-2018
0,2.4,0.8,0.0,0,2017-2018
0,0.8,2.0,16.0,0,2017-2018
0,2.4,2.2,13.0,1,2017-2018
0,2.2,2.0,21.0,1,2017-2018
0,0.4,1.0,9.0,1,2017-2018
0,0.8,1.4,-9.0,0,2017-2018
0,1.2,1.2,-7.0,1,2017-2018
0,0.8,1.6,-9.0,0,2017-2018
0,2.2,2.0,-1.0,0,2017-2018
0,0.8,3.0,-43.0,0,2017-2018
0,1.0,0.8,1.0,1,2017-2018
0,1.6,1.0,16.0,0,2017-2018
0,1.6,0.4,-11.0,0,2017-2018
0,0.8,2.6,-29.0,0,2017-2018
0,1.4,1.2,5.0,0,2017-2018
0,1.6,0.8,7.0,0,2017-2018
0,0.4,1.8,-13.0,0,2017-2018
0,0.6,0.8,12.0,1,2017-2018
0,3.0,0.4,54.0,1,2017-2018
0,2.0,1.8,6.0,0,2017-2018
0,1.2,1.0,-4.0,0,2017-2018
0,0.6,1.6,16.0,1,2017-2018
0,1.2,1.6,-27.0,0,2017-2018
0,3.0,1.4,45.0,1,2017-2018
0,2.6,0.6,35.0,1,2017-2018
0,1.0,0.8,2.0,0,2017-2018
0,1.4,1.0,-3.0,1,2017-2018
0,1.0,2.2,-5.0,0,2017-2018
0,1.4,1.2,4.0,0,2017-2018
0,0.6,0.8,-2.0,0,2017-2018
0,1.6,1.2,5.0,0,2017-2018
0,0.4,1.2,-23.0,0,2017-2018
0,1.6,3.0,-38.0,0,2017-2018
0,1.4,0.6,1.0,1,2017-2018
0,1.4,1.4,-21.0,0,2017-2018
0,0.8,1.0,-7.0,0,2017-2018
0,0.4,0.4,-2.0,1,2017-2018
0,0.4,1.2,-3.0,0,2017-2018
0,1.8,0.8,27.0,1,2017-2018
0,1.2,1.8,5.0,0,2017-2018
0,0.4,0.6,11.0,0,2017-2018
0,0.4,1.6,-13.0,0,2017-2018
0,2.2,2.6,-21.0,0,2017-2018
0,1.8,3.0,-41.0,0,2017-2018
0,1.6,0.6,-1.0,1,2017-2018
0,2.0,0.6,2.0,0,2017-2018
0,0.4,0.2,9.0,1,2017-2018
0,0.8,0.2,9.0,1,2017-2018
0,2.2,1.0,23.0,1,2017-2018
0,0.6,1.2,-8.0,0,2017-2018
0,1.4,1.4,17.0,0,2017-2018
0,0.8,2.2,-38.0,0,2017-2018
0,2.0,2.2,-1.0,0,2017-2018
0,1.6,2.0,-10.0,0,2017-2018
0,0.2,1.2,-13.0,0,2017-2018
0,2.6,1.6,26.0,1,2017-2018
0,1.0,1.2,3.0,0,2017-2018
0,1.8,0.6,25.0,0,2017-2018
0,0.6,1.8,-9.0,0,2017-2018
0,1.4,0.8,6.0,0,2017-2018
0,2.6,2.6,14.0,1,2017-2018
0,0.2,1.6,-34.0,0,2017-2018
0,1.2,3.0,-24.0,0,2017-2018
0,1.0,1.2,-2.0,0,2017-2018
0,1.6,0.6,3.0,1,2017-2018
0,1.4,2.0,-28.0,1,2017-2018
0,2.0,0.4,37.0,1,2017-2018
0,1.0,0.6,-10.0,0,2017-2018
0,0.4,1.2,-7.0,1,2017-2018
0,1.4,2.6,-44.0,0,2017-2018
0,1.6,1.2,1.0,1,2017-2018
0,2.2,0.2,17.0,1,2017-2018
0,0.2,0.8,3.0,0,2017-2018
0,1.0,2.6,-3.0,0,2017-2018
0,1.2,1.0,1.0,1,2017-2018
0,0.2,1.2,3.0,1,2017-2018
0,3.0,0.6,23.0,1,2017-2018
0,1.4,2.0,30.0,0,2017-2018
0,0.6,1.6,-16.0,0,2017-2018
0,0.2,0.4,-8.0,1,2017-2018
0,1.0,2.0,-32.0,0,2017-2018
0,2.6,2.0,45.0,0,2017-2018
0,1.2,1.0,14.0,1,2017-2018
0,2.0,2.2,-50.0,0,2017-2018
0,0.4,1.0,-34.0,0,2017-2018
0,0.8,2.2,-4.0,1,2017-2018
0,3.0,0.6,40.0,1,2017-2018
0,2.2,1.8,19.0,1,2017-2018
0,1.0,1.2,-12.0,0,2017-2018
0,0.4,0.8,0.0,0,2017-2018
0,1.2,0.6,16.0,1,2017-2018
0,2.6,1.8,6.0,0,2017-2018
0,0.8,0.8,2.0,0,2017-2018
0,1.6,2.2,-27.0,0,2017-2018
0,1.6,0.8,16.0,1,2017-2018
0,1.2,0.4,-5.0,0,2017-2018
0,2.4,0.8,15.0,1,2017-2018
0,1.4,1.4,-10.0,1,2017-2018
0,1.4,2.0,22.0,1,2017-2018
0,0.8,0.6,17.0,0,2017-2018
0,1.2,0.4,14.0,1,2017-2018
0,1.8,1.6,38.0,0,2017-2018
0,0.4,3.0,-40.0,1,2017-2018
0,0.4,1.6,-55.0,0,2017-2018
0,0.8,1.0,4.0,1,2017-2018
0,2.4,1.6,21.0,1,2017-2018
0,2.2,1.6,29.0,1,2017-2018
0,0.8,2.4,-26.0,0,2017-2018
0,1.0,0.8,11.0,1,2017-2018
0,2.0,0.8,7.0,0,2017-2018
0,1.8,2.0,14.0,1,2017-2018
0,0.8,1.2,-13.0,1,2017-2018
0,0.8,1.4,-44.0,0,2017-2018
0,3.0,3.0,0.0,1,2018-2019
0,0.0,0.0,0.0,0,2018-2019
0,0.0,0.0,0.0,0,2018-2019
0,3.0,0.0,3.0,1,2018-2019
0,0.0,3.0,-3.0,0,2018-2019
0,3.0,3.0,0.0,0,2018-2019
0,0.0,0.0,0.0,1,2018-2019
0,3.0,3.0,0.0,1,2018-2019
0,3.0,3.0,0.0,0,2018-2019
0,0.0,0.0,0.0,1,2018-2019
0,1.5,2.0,-1.0,1,2018-2019
0,0.0,3.0,-6.0,1,2018-2019
0,1.5,2.0,-1.0,0,2018-2019
0,0.0,0.5,-1.0,0,2018-2019
0,0.5,3.0,-5.0,0,2018-2019
0,3.0,0.0,6.0,1,2018-2019
0,1.5,3.0,-3.0,1,2018-2019
0,0.0,2.0,-4.0,1,2018-2019
0,2.0,0.0,4.0,1,2018-2019
0,1.5,1.5,0.0,0,2018-2019
0,2.0,0.3333333333333333,5.0,0,2018-2019
0,0.0,2.3333333333333335,-7.0,1,2018-2019
0,3.0,0.6666666666666666,7.0,0,2018-2019
